seed,orders,quality,skip_budget,human_model,status,target,target_verb,target_obj,wait_seconds,wait_censored,tasks_before,verbs_before,durations_before,ai_idle_seconds_while_waiting,ai_idle_pct_while_waiting,exec_rank,natural_rank,rank_gain,plan_owner,wait_any_seconds,wait_any_censored,done_by_other,served,completed,makespan_actual_s,human_idle_pct,wall_seconds
9,OnionTomatoSalad|TomatoLettuceSoup|AppleBananaJuice,random,4,greedy,ok,cook_lettuce_tomatosoup,cook,lettuce-tomato soup,8.9,0,3,chop|chop|chop,2.1|3.4|3.4,0.0,0.0,4,,,,0.0,0,0,3,1,27.5,49.1,20.7
10,OnionTomatoSalad|TomatoLettuceSoup|AppleOrangeJuice,random,2,greedy,ok,serve_juice_apple_orangejuice,serve_juice,apple-orange juice,27.5,1,8,chop|chop|chop|cook|chop|handover|handover|chop,2.1|3.4|3.4|1.9|0.7|2.0|12.9|0.8,0.3,1.1,,,,人,9.7,0,1,3,1,27.5,49.1,20.8
11,OnionTomatoSalad|TomatoLettuceSoup|BananaOrangeJuice,random,0,greedy,ok,mix_orange_bananajuice,mix,orange-banana juice,100.0,1,3,chop|chop|chop,2.4|3.5|4.0,89.5,89.5,,,,人,0.7,0,1,1,0,100.0,0.5,71.3
12,TomatoLettuceSalad|OnionLettuceSoup|AppleBananaJuice,bad,4,greedy,ok,chop_banana,chop,banana,4.8,0,3,chop|chop|chop,1.7|0.4|2.7,0.0,0.0,4,4,0,AI,2.4,0,0,3,1,29.8,56.4,21.4
13,TomatoLettuceSalad|OnionLettuceSoup|AppleOrangeJuice,bad,2,greedy,ok,chop_apple,chop,apple,2.1,0,2,chop|chop,1.7|0.4,0.0,0.0,3,3,0,AI,1.4,0,0,3,1,26.5,50.9,21.3
14,TomatoLettuceSalad|OnionLettuceSoup|BananaOrangeJuice,bad,0,greedy,ok,chop_orange,chop,orange,0.0,0,0,,,0.0,0.0,1,3,2,AI,2.4,0,0,3,1,31.2,53.8,23.2
15,TomatoLettuceSalad|OnionTomatoSoup|AppleBananaJuice,good,4,greedy,ok,chop_tomato,chop,tomato,27.0,1,8,chop|chop|chop|chop|cook|chop|handover|chop,1.7|2.8|2.5|1.1|0.8|2.8|13.7|1.3,0.0,0.0,,,,人,4.9,0,1,3,1,27.0,54.1,19.3
16,TomatoLettuceSalad|OnionTomatoSoup|AppleOrangeJuice,good,2,greedy,ok,chop_tomato,chop,tomato,27.0,1,8,chop|chop|chop|chop|cook|chop|handover|chop,1.7|2.8|2.5|1.1|0.8|2.8|13.7|1.3,0.0,0.0,,,,人,4.9,0,1,3,1,27.0,54.1,19.4
17,TomatoLettuceSalad|OnionTomatoSoup|BananaOrangeJuice,good,0,greedy,ok,chop_tomato,chop,tomato,26.7,1,7,chop|chop|chop|chop|cook|chop|handover,1.7|3.0|2.5|0.9|1.2|2.6|13.7,0.8,3.0,,,,人,5.1,0,1,3,1,26.7,49.8,20.8
17,TomatoLettuceSalad|OnionTomatoSoup|BananaOrangeJuice,random,4,greedy,ok,serve_from_counter_onion_tomatosoup,serve_from_counter,onion-tomato soup,26.7,1,7,chop|chop|chop|chop|cook|chop|handover,1.7|3.0|2.5|0.9|1.2|2.6|13.7,0.8,3.0,,,,人,11.9,0,1,3,1,26.7,49.8,19.9
0,OnionLettuceSalad|OnionTomatoSoup|AppleBananaJuice,good,4,greedy,ok,chop_tomato,chop,tomato,22.8,1,10,chop|chop|chop|cook|chop|chop|chop|chop|handover|chop,1.7|2.4|0.8|0.4|2.9|3.4|2.3|0.8|6.9|0.9,0.1,0.4,,,,人,2.1,0,1,3,1,22.8,59.6,20.6
1,OnionLettuceSalad|OnionTomatoSoup|AppleOrangeJuice,good,2,greedy,ok,chop_tomato,chop,tomato,22.6,1,10,chop|chop|chop|cook|chop|chop|chop|chop|handover|chop,1.7|2.4|0.8|0.4|2.9|3.4|2.3|0.6|7.1|0.7,0.1,0.4,,,,人,2.1,0,1,3,1,22.6,60.2,19.9
2,OnionLettuceSalad|OnionTomatoSoup|BananaOrangeJuice,good,0,greedy,ok,chop_tomato,chop,tomato,22.8,1,10,chop|chop|chop|cook|chop|chop|chop|chop|handover|chop,1.7|2.4|0.8|0.4|2.9|3.4|2.3|0.8|6.9|0.9,0.1,0.4,,,,人,2.1,0,1,3,1,22.8,59.6,19.7
2,OnionLettuceSalad|OnionTomatoSoup|BananaOrangeJuice,random,4,greedy,ok,chop_banana,chop,banana,5.3,0,4,chop|chop|chop|cook,1.7|2.4|0.8|0.4,0.0,0.0,5,4,-1,AI,8.2,0,0,3,1,22.6,60.2,19.9
3,OnionLettuceSalad|TomatoLettuceSoup|AppleBananaJuice,random,2,greedy,ok,serve_juice_apple_bananajuice,serve_juice,apple-banana juice,100.0,1,8,chop|chop|chop|cook|handover|chop|handover|chop,2.1|3.4|3.4|1.3|16.2|1.4|0.3|0.4,71.5,71.5,,,,人,31.2,0,1,2,0,100.0,89.7,54.5
4,OnionLettuceSalad|TomatoLettuceSoup|AppleOrangeJuice,random,0,greedy,ok,mix_apple_orangejuice,mix,apple-orange juice,100.0,1,8,chop|chop|chop|cook|handover|chop|handover|chop,2.1|3.4|3.4|1.3|16.2|1.4|0.3|0.4,71.5,71.5,,,,人,0.6,0,1,2,0,100.0,89.7,54.3
5,OnionLettuceSalad|TomatoLettuceSoup|BananaOrangeJuice,bad,4,greedy,ok,chop_orange,chop,orange,0.0,0,0,,,0.0,0.0,1,1,0,AI,2.4,0,0,2,0,100.0,89.7,54.6
6,OnionTomatoSalad|OnionLettuceSoup|AppleBananaJuice,bad,2,greedy,ok,chop_banana,chop,banana,4.2,0,2,chop|chop,1.9|2.3,0.0,0.0,3,4,1,AI,0.4,0,0,1,0,100.0,93.9,74.0
7,OnionTomatoSalad|OnionLettuceSoup|AppleOrangeJuice,bad,0,greedy,ok,chop_apple,chop,apple,0.0,0,0,,,0.0,0.0,1,3,2,AI,2.1,0,0,3,1,32.0,70.0,22.6
8,OnionTomatoSalad|OnionLettuceSoup|BananaOrangeJuice,good,4,greedy,ok,chop_onion,chop,onion,0.0,0,0,,,0.0,0.0,1,1,0,AI,7.2,0,0,3,1,25.6,53.1,22.7
9,OnionTomatoSalad|TomatoLettuceSoup|AppleBananaJuice,good,2,greedy,ok,chop_tomato,chop,tomato,27.5,1,8,chop|chop|chop|cook|chop|handover|handover|chop,2.1|3.4|3.4|1.9|0.7|2.0|12.9|0.8,0.3,1.1,,,,人,5.1,0,1,3,1,27.5,49.1,21.0
10,OnionTomatoSalad|TomatoLettuceSoup|AppleOrangeJuice,good,0,greedy,ok,chop_tomato,chop,tomato,27.5,1,8,chop|chop|chop|cook|chop|handover|handover|chop,2.1|3.4|3.4|1.9|0.7|2.0|12.9|0.8,0.3,1.1,,,,人,5.1,0,1,3,1,27.5,49.1,21.1
10,OnionTomatoSalad|TomatoLettuceSoup|AppleOrangeJuice,random,4,greedy,ok,serve_juice_apple_orangejuice,serve_juice,apple-orange juice,27.5,1,8,chop|chop|chop|cook|chop|handover|handover|chop,2.1|3.4|3.4|1.9|0.7|2.0|12.9|0.8,0.3,1.1,,,,人,9.7,0,1,3,1,27.5,49.1,20.7
11,OnionTomatoSalad|TomatoLettuceSoup|BananaOrangeJuice,random,2,greedy,ok,mix_orange_bananajuice,mix,orange-banana juice,27.9,1,7,chop|chop|chop|cook|handover|handover|chop,2.4|3.6|3.1|1.9|11.9|3.7|1.0,0.0,0.0,,,,人,17.5,0,1,3,1,27.9,52.7,22.2
12,TomatoLettuceSalad|OnionLettuceSoup|AppleBananaJuice,random,0,greedy,ok,handover_lettuce_onionsoup,handover,lettuce-onion soup,0.3,0,1,chop,0.3,0.0,0.0,2,6,4,AI,26.7,0,0,2,0,100.0,89.9,67.6
13,TomatoLettuceSalad|OnionLettuceSoup|AppleOrangeJuice,bad,4,greedy,ok,chop_apple,chop,apple,2.1,0,2,chop|chop,1.7|0.4,0.0,0.0,3,3,0,AI,4.8,0,0,3,1,26.5,50.9,21.9
14,TomatoLettuceSalad|OnionLettuceSoup|BananaOrangeJuice,bad,2,greedy,ok,chop_orange,chop,orange,2.1,0,2,chop|chop,1.7|0.4,0.0,0.0,3,3,0,AI,1.4,0,0,3,1,26.7,51.3,21.2
15,TomatoLettuceSalad|OnionTomatoSoup|AppleBananaJuice,bad,0,greedy,ok,chop_apple,chop,apple,0.0,0,0,,,0.0,0.0,1,2,1,AI,2.1,0,0,3,1,42.7,41.9,29.3
16,TomatoLettuceSalad|OnionTomatoSoup|AppleOrangeJuice,good,4,greedy,ok,chop_tomato,chop,tomato,27.0,1,8,chop|chop|chop|chop|cook|chop|handover|chop,1.7|2.8|2.5|1.1|0.8|2.8|13.7|1.3,0.0,0.0,,,,人,4.9,0,1,3,1,27.0,54.1,19.8
