seed,orders,quality,skip_budget,human_model,status,target,target_verb,target_obj,wait_seconds,wait_censored,tasks_before,verbs_before,durations_before,ai_idle_seconds_while_waiting,ai_idle_pct_while_waiting,exec_rank,natural_rank,rank_gain,plan_owner,wait_any_seconds,wait_any_censored,done_by_other,served,completed,makespan_actual_s,human_idle_pct,wall_seconds
2,OnionLettuceSalad|OnionTomatoSoup|BananaOrangeJuice,random,4,follow_plan,ok,chop_banana,chop,banana,5.3,0,4,chop|chop|chop|cook,1.7|2.4|0.8|0.4,0.0,0.0,5,4,-1,AI,8.2,0,0,3,1,21.9,44.7,19.0
3,OnionLettuceSalad|TomatoLettuceSoup|AppleBananaJuice,random,2,follow_plan,ok,serve_juice_apple_bananajuice,serve_juice,apple-banana juice,26.7,1,7,chop|chop|chop|cook|chop|chop|handover,2.1|3.6|3.2|1.2|2.6|2.4|2.9,0.0,0.0,,,,人,9.7,0,1,3,1,26.7,33.7,22.7
4,OnionLettuceSalad|TomatoLettuceSoup|AppleOrangeJuice,random,0,follow_plan,ok,mix_apple_orangejuice,mix,apple-orange juice,26.7,1,7,chop|chop|chop|cook|chop|chop|handover,2.1|3.6|3.2|1.2|2.6|2.4|2.9,0.0,0.0,,,,人,0.6,0,1,3,1,26.7,33.7,21.2
5,OnionLettuceSalad|TomatoLettuceSoup|BananaOrangeJuice,bad,4,follow_plan,ok,chop_orange,chop,orange,0.0,0,0,,,0.0,0.0,1,1,0,AI,2.4,0,0,3,1,26.9,34.2,21.3
6,OnionTomatoSalad|OnionLettuceSoup|AppleBananaJuice,bad,2,follow_plan,ok,chop_banana,chop,banana,4.2,0,2,chop|chop,1.9|2.3,0.0,0.0,3,4,1,AI,0.4,0,0,1,0,100.0,95.5,86.6
7,OnionTomatoSalad|OnionLettuceSoup|AppleOrangeJuice,bad,0,follow_plan,ok,chop_apple,chop,apple,0.0,0,0,,,0.0,0.0,1,3,2,AI,2.1,0,0,3,1,31.1,27.3,20.8
8,OnionTomatoSalad|OnionLettuceSoup|BananaOrangeJuice,good,4,follow_plan,ok,chop_onion,chop,onion,0.0,0,0,,,0.0,0.0,1,1,0,AI,6.9,0,0,3,1,24.7,38.9,18.8
9,OnionTomatoSalad|TomatoLettuceSoup|AppleBananaJuice,good,2,follow_plan,ok,chop_tomato,chop,tomato,26.7,1,6,chop|chop|chop|cook|chop|handover,2.1|3.4|3.4|1.9|1.9|3.1,0.0,0.0,,,,人,5.1,0,1,3,1,26.7,27.7,18.7
10,OnionTomatoSalad|TomatoLettuceSoup|AppleOrangeJuice,good,0,follow_plan,ok,chop_tomato,chop,tomato,26.7,1,6,chop|chop|chop|cook|chop|handover,2.1|3.4|3.4|1.9|1.9|3.1,0.0,0.0,,,,人,5.1,0,1,3,1,26.7,27.7,19.7
10,OnionTomatoSalad|TomatoLettuceSoup|AppleOrangeJuice,random,4,follow_plan,ok,serve_juice_apple_orangejuice,serve_juice,apple-orange juice,26.7,1,6,chop|chop|chop|cook|chop|handover,2.1|3.4|3.4|1.9|1.9|3.1,0.0,0.0,,,,人,9.3,0,1,3,1,26.7,27.7,19.4
11,OnionTomatoSalad|TomatoLettuceSoup|BananaOrangeJuice,random,2,follow_plan,ok,mix_orange_bananajuice,mix,orange-banana juice,26.9,1,6,chop|chop|chop|cook|chop|handover,2.4|3.3|3.4|1.9|1.9|3.1,0.0,0.0,,,,人,8.4,0,1,3,1,26.9,27.5,18.7
12,TomatoLettuceSalad|OnionLettuceSoup|AppleBananaJuice,random,0,follow_plan,ok,handover_lettuce_onionsoup,handover,lettuce-onion soup,0.3,0,1,chop,0.3,0.0,0.0,2,6,4,AI,100.0,1,0,0,0,100.0,0.0,89.5
13,TomatoLettuceSalad|OnionLettuceSoup|AppleOrangeJuice,bad,4,follow_plan,ok,chop_apple,chop,apple,2.1,0,2,chop|chop,1.7|0.4,0.0,0.0,3,3,0,AI,4.8,0,0,3,1,32.1,52.0,24.3
14,TomatoLettuceSalad|OnionLettuceSoup|BananaOrangeJuice,bad,2,follow_plan,ok,chop_orange,chop,orange,2.1,0,2,chop|chop,1.7|0.4,0.0,0.0,3,3,0,AI,1.4,0,0,3,1,32.3,52.3,23.2
15,TomatoLettuceSalad|OnionTomatoSoup|AppleBananaJuice,bad,0,follow_plan,ok,chop_apple,chop,apple,0.0,0,0,,,0.0,0.0,1,2,1,AI,2.1,0,0,3,1,25.9,10.8,17.9
16,TomatoLettuceSalad|OnionTomatoSoup|AppleOrangeJuice,good,4,follow_plan,ok,chop_tomato,chop,tomato,25.7,1,6,chop|chop|chop|chop|cook|chop,1.7|2.8|2.5|1.0|1.2|2.8,0.0,0.0,,,,人,4.9,0,1,3,1,25.7,13.2,17.9
17,TomatoLettuceSalad|OnionTomatoSoup|BananaOrangeJuice,good,2,follow_plan,ok,chop_tomato,chop,tomato,25.9,1,6,chop|chop|chop|chop|cook|chop,1.7|3.0|2.5|1.0|1.2|2.8,0.0,0.0,,,,人,5.1,0,1,3,1,25.9,13.9,17.7
0,OnionLettuceSalad|OnionTomatoSoup|AppleBananaJuice,bad,0,follow_plan,ok,chop_apple,chop,apple,0.0,0,0,,,0.0,0.0,1,3,2,AI,2.1,0,0,1,0,100.0,6.3,75.4
1,OnionLettuceSalad|OnionTomatoSoup|AppleOrangeJuice,good,4,follow_plan,ok,chop_tomato,chop,tomato,21.9,1,8,chop|chop|chop|cook|chop|chop|chop|chop,1.7|2.4|0.8|0.4|2.9|3.4|2.3|0.8,0.0,0.0,,,,人,2.1,0,1,3,1,21.9,44.7,20.2
2,OnionLettuceSalad|OnionTomatoSoup|BananaOrangeJuice,good,2,follow_plan,ok,chop_tomato,chop,tomato,21.9,1,8,chop|chop|chop|cook|chop|chop|chop|chop,1.7|2.4|0.8|0.4|2.9|3.4|2.3|0.8,0.0,0.0,,,,人,2.1,0,1,3,1,21.9,44.3,19.3
3,OnionLettuceSalad|TomatoLettuceSoup|AppleBananaJuice,good,0,follow_plan,ok,chop_lettuce,chop,lettuce,0.0,0,0,,,0.0,0.0,1,4,3,AI,4.5,0,0,3,1,22.3,45.3,19.5
3,OnionLettuceSalad|TomatoLettuceSoup|AppleBananaJuice,random,4,follow_plan,ok,serve_juice_apple_bananajuice,serve_juice,apple-banana juice,26.7,1,7,chop|chop|chop|cook|chop|chop|handover,2.1|3.6|3.2|1.2|2.6|2.4|2.9,0.0,0.0,,,,人,9.7,0,1,3,1,26.7,33.7,21.4
4,OnionLettuceSalad|TomatoLettuceSoup|AppleOrangeJuice,random,2,follow_plan,ok,mix_apple_orangejuice,mix,apple-orange juice,26.7,1,7,chop|chop|chop|cook|chop|chop|handover,2.1|3.6|3.2|1.2|2.6|2.4|2.9,0.0,0.0,,,,人,8.3,0,1,3,1,26.7,33.7,21.0
5,OnionLettuceSalad|TomatoLettuceSoup|BananaOrangeJuice,random,0,follow_plan,ok,chop_lettuce,chop,lettuce,0.0,0,0,,,0.0,0.0,1,4,3,AI,4.5,0,0,3,1,22.3,45.7,19.5
6,OnionTomatoSalad|OnionLettuceSoup|AppleBananaJuice,bad,4,follow_plan,ok,chop_banana,chop,banana,4.4,0,2,chop|chop,1.9|2.5,0.0,0.0,3,4,1,AI,7.8,0,0,3,1,28.7,27.2,22.5
7,OnionTomatoSalad|OnionLettuceSoup|AppleOrangeJuice,bad,2,follow_plan,ok,chop_apple,chop,apple,4.4,0,2,chop|chop,1.9|2.5,0.0,0.0,3,3,0,AI,1.6,0,0,3,1,28.3,26.1,20.6
8,OnionTomatoSalad|OnionLettuceSoup|BananaOrangeJuice,bad,0,follow_plan,ok,chop_banana,chop,banana,0.0,0,0,,,0.0,0.0,1,4,3,AI,2.5,0,0,3,1,28.9,14.9,21.6
9,OnionTomatoSalad|TomatoLettuceSoup|AppleBananaJuice,good,4,follow_plan,ok,chop_tomato,chop,tomato,26.7,1,6,chop|chop|chop|cook|chop|handover,2.1|3.4|3.4|1.9|1.9|3.1,0.0,0.0,,,,人,5.1,0,1,3,1,26.7,27.7,18.7
10,OnionTomatoSalad|TomatoLettuceSoup|AppleOrangeJuice,good,2,follow_plan,ok,chop_tomato,chop,tomato,26.7,1,6,chop|chop|chop|cook|chop|handover,2.1|3.4|3.4|1.9|1.9|3.1,0.0,0.0,,,,人,5.1,0,1,3,1,26.7,27.7,18.9
11,OnionTomatoSalad|TomatoLettuceSoup|BananaOrangeJuice,good,0,follow_plan,ok,chop_lettuce,chop,lettuce,0.0,0,0,,,0.0,0.0,1,4,3,AI,1.7,0,0,0,0,100.0,0.7,70.0
11,OnionTomatoSalad|TomatoLettuceSoup|BananaOrangeJuice,random,4,follow_plan,ok,mix_orange_bananajuice,mix,orange-banana juice,26.9,1,6,chop|chop|chop|cook|chop|handover,2.4|3.3|3.4|1.9|1.9|3.1,0.0,0.0,,,,人,8.4,0,1,3,1,26.9,27.5,18.7
12,TomatoLettuceSalad|OnionLettuceSoup|AppleBananaJuice,random,2,follow_plan,ok,handover_lettuce_onionsoup,handover,lettuce-onion soup,8.5,0,9,chop|chop|chop|chop|chop|chop|chop|chop|cook,1.7|0.4|0.3|0.3|0.6|1.4|0.4|2.6|0.8,0.0,0.0,10,6,-4,AI,0.3,0,0,3,1,33.9,25.1,24.0
