map,seed,quality,skip_budget,status,orders,num_tasks,num_candidates,target,target_verb,target_obj,target_serves_soup,natural_rank,natural_rank_agent,excess,makespan_baseline_s,makespan_constrained_s,loss_s,constrained_rank,inserted_count,inserted_total_s,inserted_durations_s,baseline_status,constrained_status,baseline_solve_s,constrained_solve_s
ring,9,bad,2,ok,TomatoLettuceSalad|OnionTomatoSalad|OnionTomatoSoup,10,7,chop_lettuce,chop,lettuce,0,5,0,3,20.6,23.0,2.4,1,1,1.7,1.7,OPTIMAL,OPTIMAL,0.0176,0.0212
ring,9,bad,4,ok,TomatoLettuceSalad|OnionTomatoSalad|OnionTomatoSoup,10,7,chop_lettuce,chop,lettuce,0,5,0,1,20.6,20.6,0.0,3,3,4.1,1.7|2.0|0.4,OPTIMAL,OPTIMAL,0.0179,0.024
ring,9,random,0,ok,TomatoLettuceSalad|OnionTomatoSalad|OnionTomatoSoup,10,7,chop_onion,chop,onion,1,0,0,0,20.6,20.6,0.0,0,0,0,,OPTIMAL,OPTIMAL,0.0176,0.02
ring,9,random,2,ok,TomatoLettuceSalad|OnionTomatoSalad|OnionTomatoSoup,10,7,chop_onion,chop,onion,1,0,0,0,20.6,20.6,0.0,0,0,0,,OPTIMAL,OPTIMAL,0.0194,0.022
ring,9,random,4,ok,TomatoLettuceSalad|OnionTomatoSalad|OnionTomatoSoup,10,7,chop_onion,chop,onion,1,0,0,0,20.6,20.6,0.0,0,0,0,,OPTIMAL,OPTIMAL,0.0182,0.0293
ring,10,good,0,ok,FullSalad|TomatoLettuceSalad|TomatoLettuceSoup,11,7,chop_tomato,chop,tomato,1,1,0,1,21.2,22.0,0.8,0,0,0,,OPTIMAL,OPTIMAL,0.0202,0.033
ring,10,good,2,ok,FullSalad|TomatoLettuceSalad|TomatoLettuceSoup,11,7,chop_tomato,chop,tomato,1,1,0,0,21.2,21.2,0.0,1,1,2.1,2.1,OPTIMAL,OPTIMAL,0.0215,0.0354
ring,10,good,4,ok,FullSalad|TomatoLettuceSalad|TomatoLettuceSoup,11,7,chop_tomato,chop,tomato,1,1,0,0,21.2,21.2,0.0,1,1,2.1,2.1,OPTIMAL,OPTIMAL,0.0267,0.0387
ring,10,bad,0,ok,FullSalad|TomatoLettuceSalad|TomatoLettuceSoup,11,7,chop_onion,chop,onion,0,0,1,0,21.2,21.2,0.0,0,0,0,,OPTIMAL,OPTIMAL,0.0288,0.0332
ring,10,bad,2,ok,FullSalad|TomatoLettuceSalad|TomatoLettuceSoup,11,7,chop_onion,chop,onion,0,0,1,0,21.2,21.2,0.0,0,0,0,,OPTIMAL,OPTIMAL,0.026,0.0287
ring,10,bad,4,ok,FullSalad|TomatoLettuceSalad|TomatoLettuceSoup,11,7,chop_onion,chop,onion,0,0,1,0,21.2,21.2,0.0,0,0,0,,OPTIMAL,OPTIMAL,0.0215,0.0262
ring,10,random,0,ok,FullSalad|TomatoLettuceSalad|TomatoLettuceSoup,11,7,chop_tomato,chop,tomato,1,1,0,1,21.2,22.0,0.8,0,0,0,,OPTIMAL,OPTIMAL,0.0213,0.0336
ring,10,random,2,ok,FullSalad|TomatoLettuceSalad|TomatoLettuceSoup,11,7,chop_tomato,chop,tomato,1,1,0,0,21.2,21.2,0.0,1,1,2.1,2.1,OPTIMAL,OPTIMAL,0.0214,0.0329
ring,10,random,4,ok,FullSalad|TomatoLettuceSalad|TomatoLettuceSoup,11,7,chop_tomato,chop,tomato,1,1,0,0,21.2,21.2,0.0,1,1,2.1,2.1,OPTIMAL,OPTIMAL,0.0226,0.033
ring,11,good,0,ok,OnionLettuceSalad|OnionLettuceSalad|TomatoLettuceSoup,10,6,chop_lettuce,chop,lettuce,1,0,0,0,21.2,21.2,0.0,0,0,0,,OPTIMAL,OPTIMAL,0.0203,0.0306
ring,11,good,2,ok,OnionLettuceSalad|OnionLettuceSalad|TomatoLettuceSoup,10,6,chop_lettuce,chop,lettuce,1,0,0,0,21.2,21.2,0.0,0,0,0,,OPTIMAL,OPTIMAL,0.0241,0.0279
ring,11,good,4,ok,OnionLettuceSalad|OnionLettuceSalad|TomatoLettuceSoup,10,6,chop_lettuce,chop,lettuce,1,0,0,0,21.2,21.2,0.0,0,0,0,,OPTIMAL,OPTIMAL,0.0165,0.0256
ring,11,bad,0,ok,OnionLettuceSalad|OnionLettuceSalad|TomatoLettuceSoup,10,6,chop_onion,chop,onion,0,0,1,0,21.2,21.2,0.0,0,0,0,,OPTIMAL,OPTIMAL,0.0159,0.0232
ring,11,bad,2,ok,OnionLettuceSalad|OnionLettuceSalad|TomatoLettuceSoup,10,6,chop_onion,chop,onion,0,0,1,0,21.2,21.2,0.0,0,0,0,,OPTIMAL,OPTIMAL,0.0175,0.0241
ring,11,bad,4,ok,OnionLettuceSalad|OnionLettuceSalad|TomatoLettuceSoup,10,6,chop_onion,chop,onion,0,0,1,0,21.2,21.2,0.0,0,0,0,,OPTIMAL,OPTIMAL,0.0209,0.0289
ring,11,random,0,ok,OnionLettuceSalad|OnionLettuceSalad|TomatoLettuceSoup,10,6,chop_onion,chop,onion,0,0,1,0,21.2,21.2,0.0,0,0,0,,OPTIMAL,OPTIMAL,0.0186,0.0273
ring,11,random,2,ok,OnionLettuceSalad|OnionLettuceSalad|TomatoLettuceSoup,10,6,chop_onion,chop,onion,0,0,1,0,21.2,21.2,0.0,0,0,0,,OPTIMAL,OPTIMAL,0.0229,0.0363
ring,11,random,4,ok,OnionLettuceSalad|OnionLettuceSalad|TomatoLettuceSoup,10,6,chop_onion,chop,onion,0,0,1,0,21.2,21.2,0.0,0,0,0,,OPTIMAL,OPTIMAL,0.0225,0.0258
ring,12,good,0,ok,TomatoLettuceSalad|OnionTomatoSalad|OnionTomatoSoup,10,7,chop_onion,chop,onion,1,0,0,0,20.6,20.6,0.0,0,0,0,,OPTIMAL,OPTIMAL,0.0159,0.0217
ring,12,good,2,ok,TomatoLettuceSalad|OnionTomatoSalad|OnionTomatoSoup,10,7,chop_onion,chop,onion,1,0,0,0,20.6,20.6,0.0,0,0,0,,OPTIMAL,OPTIMAL,0.0201,0.0187
ring,12,good,4,ok,TomatoLettuceSalad|OnionTomatoSalad|OnionTomatoSoup,10,7,chop_onion,chop,onion,1,0,0,0,20.6,20.6,0.0,0,0,0,,OPTIMAL,OPTIMAL,0.017,0.0218
