map,preset,seed,human_model,quality,skip_budget,status,orders,target,target_verb,target_obj,served,reward,orders_left,completed,timed_out,makespan_actual_s,makespan_plan_baseline_s,makespan_plan_constrained_s,loss_s,loss_status,prediction_match,prediction_samples,replans,preempted_by_human,rework,human_frames,human_idle_pct,human_move_pct,human_interact_pct,human_task_switches,human_stuck_switches,human_useful_events,human_event_kinds,wall_seconds
experiment,experiment2,11,greedy,random,0,ok,OnionTomatoSalad|TomatoLettuceSoup|BananaOrangeJuice,mix_orange_bananajuice,mix,orange-banana juice,0,0,3,0,1,100.0,13.9,16.6,2.7,ok,0.013,1000,134,0,3,1000,0.0,6.6,93.3,11,9,13,Chop:2|Mix:1|Pickup:7|Put:3,70.7
experiment,experiment2,11,random,bad,4,ok,OnionTomatoSalad|TomatoLettuceSoup|BananaOrangeJuice,chop_orange,chop,orange,3,45,0,1,0,30.7,13.9,13.9,0.0,ok,0.2671,307,46,3,8,307,35.8,31.3,32.6,21,0,38,Assemble:2|Chop:3|Deliver:3|Mix:1|Pickup:19|Put:10,19.8
experiment,experiment2,12,follow_plan,bad,2,ok,TomatoLettuceSalad|OnionLettuceSoup|AppleBananaJuice,chop_banana,chop,banana,3,45,0,1,0,31.3,16.0,16.2,0.2,ok,1.0,313,38,0,11,313,18.5,19.5,61.7,0,0,42,Assemble:2|Chop:1|Deliver:3|Mix:1|Pickup:21|Put:14,14.4
experiment,experiment2,12,greedy,bad,0,ok,TomatoLettuceSalad|OnionLettuceSoup|AppleBananaJuice,chop_banana,chop,banana,3,45,0,1,0,32.9,16.0,16.8,0.8,ok,0.3556,329,38,0,10,329,2.1,25.5,72.0,12,0,22,Assemble:3|Chop:1|Deliver:3|Mix:1|Pickup:11|Put:3,20.4
experiment,experiment2,12,random,good,4,ok,TomatoLettuceSalad|OnionLettuceSoup|AppleBananaJuice,chop_onion,chop,onion,3,45,0,1,0,34.3,16.0,16.0,0.0,ok,0.2478,343,43,3,11,343,60.3,18.1,21.3,13,2,46,Assemble:3|Chop:1|Deliver:3|Mix:1|Pickup:23|Put:15,21.8
experiment,experiment2,13,follow_plan,good,2,ok,TomatoLettuceSalad|OnionLettuceSoup|AppleOrangeJuice,chop_onion,chop,onion,3,45,0,1,0,28.3,16.0,16.2,0.2,ok,1.0,283,43,0,6,283,26.1,17.3,56.2,0,0,78,Assemble:3|Chop:1|Deliver:3|Mix:1|Pickup:39|Put:31,14.9
experiment,experiment2,13,greedy,good,0,ok,TomatoLettuceSalad|OnionLettuceSoup|AppleOrangeJuice,chop_onion,chop,onion,3,45,0,1,0,30.3,16.0,16.2,0.2,ok,0.1353,303,42,0,11,303,0.7,23.8,75.2,12,0,18,Assemble:2|Chop:1|Deliver:3|Mix:1|Pickup:9|Put:2,18.3
experiment,experiment2,13,greedy,random,4,ok,TomatoLettuceSalad|OnionLettuceSoup|AppleOrangeJuice,serve_juice_apple_orangejuice,serve_juice,apple-orange juice,3,45,0,1,0,48.1,16.0,16.0,0.0,ok,0.131,481,58,0,10,481,1.9,16.4,81.5,14,2,19,Assemble:1|Chop:1|Deliver:3|Mix:1|Pickup:10|Put:3,33.2
experiment,experiment2,13,random,random,2,ok,TomatoLettuceSalad|OnionLettuceSoup|AppleOrangeJuice,serve_juice_apple_orangejuice,serve_juice,apple-orange juice,3,45,0,1,0,36.1,16.0,16.0,0.0,ok,0.1302,361,47,5,10,361,66.8,21.1,11.9,15,1,20,Assemble:2|Chop:2|Deliver:3|Mix:1|Pickup:10|Put:2,24.5
experiment,experiment2,14,follow_plan,random,0,ok,TomatoLettuceSalad|OnionLettuceSoup|BananaOrangeJuice,chop_onion,chop,onion,3,45,0,1,0,22.3,16.2,16.4,0.2,ok,1.0,223,46,0,8,223,33.2,27.8,38.6,0,0,70,Assemble:2|Chop:1|Deliver:3|Mix:1|Pickup:35|Put:28,13.8
experiment,experiment2,14,greedy,bad,4,ok,TomatoLettuceSalad|OnionLettuceSoup|BananaOrangeJuice,chop_orange,chop,orange,3,45,0,1,0,48.3,16.2,16.2,0.0,ok,0.1429,483,57,0,10,483,1.2,17.6,81.0,14,2,21,Assemble:1|Chop:1|Deliver:3|Mix:1|Pickup:11|Put:4,33.5
experiment,experiment2,14,random,bad,2,ok,TomatoLettuceSalad|OnionLettuceSoup|BananaOrangeJuice,chop_orange,chop,orange,3,45,0,1,0,58.7,16.2,16.2,0.0,ok,0.2572,587,76,4,8,587,41.4,21.1,37.3,18,3,95,Assemble:1|Chop:3|Deliver:3|Mix:1|Pickup:48|Put:39,40.7
experiment,experiment2,15,follow_plan,bad,0,ok,TomatoLettuceSalad|OnionTomatoSoup|AppleBananaJuice,chop_apple,chop,apple,3,45,0,1,0,25.9,13.7,13.9,0.2,ok,1.0,259,39,0,6,259,10.8,30.1,58.7,0,0,80,Assemble:1|Chop:2|Deliver:3|Mix:1|Pickup:40|Put:33,13.7
experiment,experiment2,15,greedy,good,4,ok,TomatoLettuceSalad|OnionTomatoSoup|AppleBananaJuice,chop_tomato,chop,tomato,3,45,0,1,0,37.8,13.7,13.7,0.0,ok,0.2354,378,40,0,9,378,0.5,26.5,72.8,18,1,30,Assemble:3|Chop:3|Deliver:3|Mix:1|Pickup:15|Put:5,23.3
experiment,experiment2,15,random,good,2,ok,TomatoLettuceSalad|OnionTomatoSoup|AppleBananaJuice,chop_tomato,chop,tomato,3,45,0,1,0,58.6,13.7,13.7,0.0,ok,0.2491,586,70,4,9,586,65.9,15.4,18.6,19,3,78,Assemble:2|Chop:3|Deliver:3|Mix:1|Pickup:39|Put:30,41.7
experiment,experiment2,16,follow_plan,good,0,ok,TomatoLettuceSalad|OnionTomatoSoup|AppleOrangeJuice,chop_tomato,chop,tomato,3,45,0,1,0,25.7,13.7,13.7,0.0,ok,1.0,257,36,0,6,257,13.2,25.7,60.7,0,0,68,Assemble:3|Chop:2|Deliver:3|Mix:1|Pickup:34|Put:25,13.5
experiment,experiment2,16,follow_plan,random,4,ok,TomatoLettuceSalad|OnionTomatoSoup|AppleOrangeJuice,chop_lettuce,chop,lettuce,3,45,0,1,0,25.7,13.7,13.7,0.0,ok,1.0,257,36,0,6,257,13.2,25.7,60.7,0,0,68,Assemble:3|Chop:2|Deliver:3|Mix:1|Pickup:34|Put:25,12.6
experiment,experiment2,16,greedy,random,2,ok,TomatoLettuceSalad|OnionTomatoSoup|AppleOrangeJuice,chop_lettuce,chop,lettuce,3,45,0,1,0,37.8,13.7,13.7,0.0,ok,0.2354,378,40,0,9,378,0.5,26.5,72.8,18,1,30,Assemble:3|Chop:3|Deliver:3|Mix:1|Pickup:15|Put:5,22.7
experiment,experiment2,16,random,random,0,ok,TomatoLettuceSalad|OnionTomatoSoup|AppleOrangeJuice,chop_lettuce,chop,lettuce,3,45,0,1,0,57.5,13.7,13.7,0.0,ok,0.1565,575,68,5,9,575,69.6,14.6,15.7,22,3,28,Assemble:2|Chop:3|Deliver:3|Mix:1|Pickup:14|Put:5,35.8
experiment,experiment2,17,follow_plan,bad,4,ok,TomatoLettuceSalad|OnionTomatoSoup|BananaOrangeJuice,chop_banana,chop,banana,3,45,0,1,0,25.9,13.9,13.9,0.0,ok,1.0,259,38,0,6,259,13.9,25.5,60.2,0,0,68,Assemble:3|Chop:2|Deliver:3|Mix:1|Pickup:34|Put:25,12.9
experiment,experiment2,17,greedy,bad,2,ok,TomatoLettuceSalad|OnionTomatoSoup|BananaOrangeJuice,chop_banana,chop,banana,3,45,0,1,0,38.0,13.9,13.9,0.0,ok,0.2395,380,43,0,9,380,0.5,26.3,72.9,18,1,32,Assemble:3|Chop:3|Deliver:3|Mix:1|Pickup:16|Put:6,23.2
experiment,experiment2,17,random,bad,0,ok,TomatoLettuceSalad|OnionTomatoSoup|BananaOrangeJuice,chop_banana,chop,banana,3,45,0,1,0,42.1,13.9,14.3,0.4,ok,0.3563,421,55,1,10,421,20.9,23.3,55.6,19,1,28,Assemble:2|Chop:3|Deliver:3|Mix:1|Pickup:14|Put:5,27.4
experiment,experiment2,0,follow_plan,good,2,ok,OnionLettuceSalad|OnionTomatoSoup|AppleBananaJuice,chop_tomato,chop,tomato,3,45,0,1,0,21.9,16.2,16.2,0.0,ok,1.0,219,38,0,8,219,12.3,25.6,61.6,0,0,100,Assemble:1|Chop:1|Deliver:3|Mix:1|Pickup:50|Put:44,13.4
