seed,orders,quality,skip_budget,human_model,served,completed,makespan_actual_s,unfinished_dish,human_stall,human_stall_count,ai_stall,ai_stall_count,progress_stall_events,progress_stall_detail
9,OnionTomatoSalad|TomatoLettuceSoup|AppleBananaJuice,bad,2,follow_plan,3,1,22.7,,,0,cook_lettuce_tomato :: 必要な食材 (Chopped) を待機中,3,0,
9,OnionTomatoSalad|TomatoLettuceSoup|AppleBananaJuice,random,4,follow_plan,3,1,22.7,,,0,cook_lettuce_tomato :: 必要な食材 (Chopped) を待機中,3,0,
10,OnionTomatoSalad|TomatoLettuceSoup|AppleOrangeJuice,bad,0,follow_plan,3,1,24.1,,,0,cook_lettuce_tomato :: 必要な食材 (Chopped) を待機中,3,0,
10,OnionTomatoSalad|TomatoLettuceSoup|AppleOrangeJuice,random,2,follow_plan,3,1,37.9,,,0,carry_onion :: onion を運び終えた (完了),1,0,
11,OnionTomatoSalad|TomatoLettuceSoup|BananaOrangeJuice,good,4,follow_plan,3,1,22.7,,,0,cook_lettuce_tomato :: 必要な食材 (Chopped) を待機中,3,0,
11,OnionTomatoSalad|TomatoLettuceSoup|BananaOrangeJuice,random,0,follow_plan,3,1,53.6,,,0,handover_lettuce_tomato :: ターゲットの完成品が入った鍋が見つかりません,242,2,A0:handover:ターゲットの完成品が入った鍋が見つかりません|A1:chop:FreshLettuce が見つかりません
12,TomatoLettuceSalad|OnionLettuceSoup|AppleBananaJuice,good,2,follow_plan,3,1,26.1,,,0,carry_apple :: apple を運び終えた (完了),1,0,
12,TomatoLettuceSalad|OnionLettuceSoup|AppleBananaJuice,bad,4,follow_plan,3,1,26.1,,,0,carry_apple :: apple を運び終えた (完了),1,0,
13,TomatoLettuceSalad|OnionLettuceSoup|AppleOrangeJuice,good,0,follow_plan,3,1,27.9,,,0,cook_lettuce_onion :: 調理完了 (Done),1,0,
13,TomatoLettuceSalad|OnionLettuceSoup|AppleOrangeJuice,bad,2,follow_plan,3,1,24.7,,,0,,0,0,
13,TomatoLettuceSalad|OnionLettuceSoup|AppleOrangeJuice,random,4,follow_plan,3,1,26.3,,,0,carry_apple :: apple を運び終えた (完了),1,0,
